id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
51,Build predictive models,QA Engineer,Low,Technical,Moderate,,1-3 hours,Daily,Beginner,"Git, Node.js","Tableau, AWS","DevOps, Web Development, Cloud Computing","As a QA Engineer, your responsibilities include Build predictive models. You'll utilize skills such as Git, Node.js and work with tools like Tableau, AWS. This role often involves technologies like DevOps, Web Development, Cloud Computing.",Medium Risk,"['as a qa engineer your responsibilities include build predictive models', 'youll utilize skills such as git node', 'js and work with tools like tableau aws', 'this role often involves technologies like devops web development cloud computing']","['other', 'other', 'teamwork', 'technical skills']",False,1
52,Test applications end-to-end,UI/UX Designer,Low,Managerial,Low,Moderate,1-3 hours,Monthly,Intermediate,"Git, JavaScript","Postman, Jira, Tableau","Big Data, AI, Cloud Computing","As a UI/UX Designer, your responsibilities include Test applications end-to-end. You'll utilize skills such as Git, JavaScript and work with tools like Postman, Jira, Tableau. This role often involves technologies like Big Data, AI, Cloud Computing.",Medium Risk,"['as a uiux designer your responsibilities include test applications endtoend', 'youll utilize skills such as git javascript and work with tools like postman jira tableau', 'this role often involves technologies like big data ai cloud computing']","['technical skills', 'teamwork', 'other']",True,1
53,Train and fine-tune models,QA Engineer,Medium,Managerial,Low,Low,1-3 hours,Weekly,Intermediate,"SQL, TensorFlow, Docker, React","Jira, MySQL","DevOps, Web Development","As a QA Engineer, your responsibilities include Train and fine-tune models. You'll utilize skills such as SQL, TensorFlow, Docker, React and work with tools like Jira, MySQL. This role often involves technologies like DevOps, Web Development.",Medium Risk,"['as a qa engineer your responsibilities include train and finetune models', 'youll utilize skills such as sql tensorflow docker react and work with tools like jira mysql', 'this role often involves technologies like devops web development']","['other', 'teamwork', 'technical skills']",False,1
54,Design APIs,UI/UX Designer,High,Technical,Moderate,Moderate,<1 hour,Daily,Beginner,"JavaScript, Node.js, Git",Tableau,Cloud Computing,"As a UI/UX Designer, your responsibilities include Design APIs. You'll utilize skills such as JavaScript, Node.js, Git and work with tools like Tableau. This role often involves technologies like Cloud Computing.",Medium Risk,"['as a uiux designer your responsibilities include design apis', 'youll utilize skills such as javascript node', 'js git and work with tools like tableau', 'this role often involves technologies like cloud computing']","['technical skills', 'other', 'teamwork', 'other']",True,1
55,Design APIs,Product Manager,High,Technical,Moderate,,<1 hour,Weekly,Advanced,"Python, SQL, Docker","Postman, Tableau",DevOps,"As a Product Manager, your responsibilities include Design APIs. You'll utilize skills such as Python, SQL, Docker and work with tools like Postman, Tableau. This role often involves technologies like DevOps.",Medium Risk,"['as a product manager your responsibilities include design apis', 'youll utilize skills such as python sql docker and work with tools like postman tableau', 'this role often involves technologies like devops']","['technical skills', 'teamwork', 'other']",True,1
56,Build predictive models,QA Engineer,High,Technical,Moderate,,Full-day,Weekly,Beginner,"SQL, Python, TensorFlow, Node.js, Git","VS Code, Jira","AI, Big Data, DevOps","As a QA Engineer, your responsibilities include Build predictive models. You'll utilize skills such as SQL, Python, TensorFlow, Node.js, Git and work with tools like VS Code, Jira. This role often involves technologies like AI, Big Data, DevOps.",Medium Risk,"['as a qa engineer your responsibilities include build predictive models', 'youll utilize skills such as sql python tensorflow node', 'js git and work with tools like vs code jira', 'this role often involves technologies like ai big data devops']","['other', 'other', 'teamwork, technical skills', 'other']",False,1
57,Monitor system performance,Machine Learning Engineer,Medium,Managerial,High,High,1-3 hours,Occasionally,Advanced,"Python, Docker",MongoDB,DevOps,"As a Machine Learning Engineer, your responsibilities include Monitor system performance. You'll utilize skills such as Python, Docker and work with tools like MongoDB. This role often involves technologies like DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include monitor system performance', 'youll utilize skills such as python docker and work with tools like mongodb', 'this role often involves technologies like devops']","['other', 'teamwork', 'other']",False,1
58,Perform code reviews,UI/UX Designer,High,Technical,Moderate,High,1-3 hours,Weekly,Intermediate,"Node.js, Python","Postman, Jira, MongoDB","DevOps, AI","As a UI/UX Designer, your responsibilities include Perform code reviews. You'll utilize skills such as Node.js, Python and work with tools like Postman, Jira, MongoDB. This role often involves technologies like DevOps, AI.",Medium Risk,"['as a uiux designer your responsibilities include perform code reviews', 'youll utilize skills such as node', 'js python and work with tools like postman jira mongodb', 'this role often involves technologies like devops ai']","['technical skills', 'other', 'teamwork', 'other']",True,1
59,Test applications end-to-end,Data Scientist,High,Creative,Low,Low,Half-day,Occasionally,Beginner,"SQL, Node.js, Python, Git",VS Code,"AI, Big Data","As a Data Scientist, your responsibilities include Test applications end-to-end. You'll utilize skills such as SQL, Node.js, Python, Git and work with tools like VS Code. This role often involves technologies like AI, Big Data.",Low Risk,"['as a data scientist your responsibilities include test applications endtoend', 'youll utilize skills such as sql node', 'js python git and work with tools like vs code', 'this role often involves technologies like ai big data']","['other', 'other', 'teamwork, technical skills', 'other']",False,0
60,Design wireframes and prototypes,QA Engineer,Medium,Creative,Low,,<1 hour,Weekly,Intermediate,"Node.js, React, TensorFlow",Tableau,"DevOps, AI, Big Data","As a QA Engineer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Node.js, React, TensorFlow and work with tools like Tableau. This role often involves technologies like DevOps, AI, Big Data.",Medium Risk,"['as a qa engineer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as node', 'js react tensorflow and work with tools like tableau', 'this role often involves technologies like devops ai big data']","['technical skills', 'other', 'teamwork', 'other']",True,1
61,Write and execute test cases,Product Manager,High,Managerial,Moderate,Low,Half-day,Weekly,Intermediate,"Node.js, Agile, Docker, SQL, Python","VS Code, Slack","Web Development, AI","As a Product Manager, your responsibilities include Write and execute test cases. You'll utilize skills such as Node.js, Agile, Docker, SQL, Python and work with tools like VS Code, Slack. This role often involves technologies like Web Development, AI.",Medium Risk,"['as a product manager your responsibilities include write and execute test cases', 'youll utilize skills such as node', 'js agile docker sql python and work with tools like vs code slack', 'this role often involves technologies like web development ai']","['other', 'other', 'teamwork, technical skills', 'technical skills']",False,1
62,Conduct user research,QA Engineer,Medium,Managerial,Moderate,Moderate,Half-day,Daily,Advanced,"Docker, Node.js, Git","Jira, AWS, Slack",Big Data,"As a QA Engineer, your responsibilities include Conduct user research. You'll utilize skills such as Docker, Node.js, Git and work with tools like Jira, AWS, Slack. This role often involves technologies like Big Data.",Medium Risk,"['as a qa engineer your responsibilities include conduct user research', 'youll utilize skills such as docker node', 'js git and work with tools like jira aws slack', 'this role often involves technologies like big data']","['other', 'other', 'teamwork', 'other']",False,1
63,Conduct user research,Full Stack Developer,Low,Technical,High,,Full-day,Weekly,Beginner,"JavaScript, Node.js, Git, Python","Jira, Tableau, Postman","Cloud Computing, Big Data","As a Full Stack Developer, your responsibilities include Conduct user research. You'll utilize skills such as JavaScript, Node.js, Git, Python and work with tools like Jira, Tableau, Postman. This role often involves technologies like Cloud Computing, Big Data.",Medium Risk,"['as a full stack developer your responsibilities include conduct user research', 'youll utilize skills such as javascript node', 'js git python and work with tools like jira tableau postman', 'this role often involves technologies like cloud computing big data']","['technical skills', 'other', 'teamwork', 'other']",False,1
